Team #,0,1,2,3,4,5,Elo
None,1836,610,330,210,144,89,
1678,39,25,15,8,6,3,1887
2412,33,21,17,12,9,6,1614
254,30,20,13,10,8,5,1869
4522,29,3,2,1,1,1,1620
2877,27,10,2,2,2,1,1633
2930,27,9,4,1,1,0,1730
4915,26,10,4,3,2,1,1564
1706,26,9,2,1,1,0,1521
1339,25,7,3,1,1,1,1551
4201,23,9,5,5,2,1,1650
540,23,7,3,1,1,1,1569
862,23,10,5,3,1,1,1675
8,23,15,9,4,2,1,1572
2791,22,9,3,3,2,2,1742
1072,22,9,3,2,2,1,1505
2102,21,10,4,3,3,2,1700
2169,21,6,3,1,1,1,1543
1868,21,9,4,2,1,0,1661
5013,21,8,4,2,0,0,1573
6328,20,10,8,5,4,2,1473
111,20,13,6,4,3,1,1721
3476,20,10,3,2,2,1,1619
333,20,10,2,1,1,1,1556
846,20,8,5,2,2,1,1729
971,20,11,7,6,4,2,1853
694,20,10,7,4,3,1,1737
1410,19,10,7,6,3,2,1652
6897,19,10,4,1,1,1,1493
612,19,8,1,1,1,1,1605
226,19,11,7,4,3,0,1679
1690,18,13,6,3,2,2,1822
1403,18,2,2,1,1,1,1589
3128,18,5,3,2,1,1,1723
1736,18,7,4,4,2,1,1583
900,18,7,4,4,3,3,1453
6829,18,9,5,3,2,2,1639
1351,18,8,2,1,1,0,1482
6838,18,2,1,1,0,0,1487
548,17,11,8,7,6,3,1692
5190,17,5,3,1,1,1,1787
3928,17,9,3,2,2,1,1611
3512,17,7,3,2,2,2,1634
2481,17,12,7,3,3,2,1802
3310,17,8,5,3,2,1,1762
948,17,8,4,2,2,1,1680
1391,17,2,1,0,0,0,1638
696,16,9,4,2,2,2,1600
5987,16,12,8,5,3,2,1507
5511,16,9,7,5,3,3,1611
100,16,11,3,3,3,3,1499
125,16,15,9,8,5,2,1733
195,16,5,3,3,2,1,1784
3357,16,7,5,4,3,1,1696
341,16,8,5,4,3,2,1598
7891,16,2,1,1,1,1,1465
4561,16,10,4,2,2,0,1634
4265,16,3,1,1,1,0,1587
2521,16,7,3,1,1,0,1641
6323,16,3,2,1,0,0,1503
599,16,6,4,2,0,0,1624
2590,16,4,4,2,0,0,1662
624,15,7,4,3,1,1,1682
1241,15,5,2,1,1,1,1757
2910,15,10,7,5,5,2,1944
342,15,8,5,3,2,1,1678
2122,15,6,3,2,2,1,1735
2619,15,5,2,2,1,1,1628
987,15,6,5,3,1,1,1821
114,15,10,5,2,1,0,1641
1073,15,4,1,1,0,0,1641
2729,15,5,3,2,0,0,1632
3534,15,4,0,0,0,0,1627
3061,15,4,0,0,0,0,1645
7231,15,1,0,0,0,0,1472
2767,14,9,6,6,3,3,1813
503,14,11,7,4,4,3,1598
3847,14,10,5,3,3,3,1726
1619,14,9,7,5,3,3,1833
610,14,4,4,2,2,1,1751
1533,14,10,7,5,3,1,1631
4607,14,4,2,2,2,2,1658
3322,14,9,4,2,1,1,1552
4795,14,2,2,1,1,1,1606
148,14,11,9,7,6,4,1838
2468,14,7,4,3,2,1,1744
1983,14,5,3,1,1,1,1729
7461,14,8,3,1,1,1,1473
2485,14,7,4,3,1,1,1591
5687,14,8,5,4,2,0,1821
3467,14,6,4,3,2,0,1593
2383,14,4,1,1,1,0,1728
118,14,9,6,3,2,0,1765
1156,14,5,3,2,1,0,1543
379,14,1,1,1,0,0,1653
3506,14,4,2,0,0,0,1566
2883,14,6,3,0,0,0,1590
5980,14,8,0,0,0,0,1580
1452,14,0,0,0,0,0,1484
1939,13,8,6,5,4,2,1634
177,13,7,4,3,3,2,1704
4537,13,4,3,2,2,1,1527
1902,13,6,5,4,3,2,1599
1138,13,6,2,2,1,1,1569
2813,13,6,3,1,1,1,1422
1425,13,8,6,3,3,3,1640
5026,13,6,4,3,2,1,1637
78,13,7,6,4,3,2,1841
2992,13,4,2,1,1,1,1632
2638,13,3,2,1,1,1,1649
88,13,9,5,3,1,1,1697
930,13,5,4,4,1,0,1753
51,13,5,4,3,2,0,1661
5740,13,5,3,3,1,0,1544
910,13,5,3,2,0,0,1774
4183,13,8,4,1,0,0,1597
2996,13,4,2,1,0,0,1685
5822,13,5,2,0,0,0,1573
5557,13,3,0,0,0,0,1447
5943,13,5,0,0,0,0,1459
1261,13,4,0,0,0,0,1597
2733,12,8,4,2,2,1,1683
1710,12,6,2,1,1,1,1566
3316,12,4,3,3,1,1,1568
5406,12,9,5,4,4,2,1810
1712,12,6,2,2,2,2,1678
865,12,6,4,2,1,1,1578
868,12,7,5,4,3,3,1666
747,12,4,2,2,1,1,1670
20,12,5,2,1,1,1,1811
1746,12,7,4,3,2,2,1605
2834,12,5,5,2,2,0,1747
2168,12,7,4,2,2,0,1779
4613,12,6,6,3,1,0,1707
1511,12,6,4,2,1,0,1641
1817,12,6,4,3,1,0,1631
3374,12,7,2,1,1,0,1538
4028,12,5,3,2,0,0,1672
4946,12,5,4,1,0,0,1663
4188,12,5,2,1,0,0,1548
3735,12,4,2,1,0,0,1610
5484,12,3,1,1,0,0,1644
4828,12,4,1,1,0,0,1580
172,12,4,1,0,0,0,1697
6326,12,2,0,0,0,0,1466
2137,11,5,3,3,2,2,1612
1885,11,7,4,2,2,1,1681
27,11,6,5,3,2,1,1736
449,11,5,4,2,1,1,1611
1730,11,4,2,2,2,2,1688
2230,11,5,1,1,1,1,1569
5553,11,5,1,1,1,1,1508
1153,11,5,4,3,3,2,1646
1086,11,8,7,7,7,2,1503
708,11,5,3,2,2,1,1590
2898,11,4,2,2,2,1,1511
3015,11,8,5,2,1,1,1760
1778,11,3,2,2,2,2,1609
4481,11,8,2,2,2,2,1696
3082,11,5,3,3,2,1,1533
190,11,6,6,5,5,1,1648
6377,11,7,2,1,1,1,1671
5460,11,5,5,4,4,0,1871
230,11,6,4,2,1,0,1729
2714,11,6,5,5,3,0,1593
4905,11,2,1,1,1,0,1602
67,11,3,2,1,1,0,1713
1414,11,5,2,1,0,0,1676
2637,11,4,1,1,0,0,1459
4810,11,4,3,0,0,0,1545
3824,11,5,2,0,0,0,1594
5464,11,4,1,0,0,0,1500
1987,11,3,1,0,0,0,1636
236,11,3,3,0,0,0,1633
3663,11,4,2,0,0,0,1668
4678,11,4,1,0,0,0,1597
3157,11,1,0,0,0,0,1557
1506,10,7,4,4,4,2,1685
1114,10,6,2,2,2,1,1865
316,10,4,3,3,1,1,1631
4911,10,4,3,2,2,2,1788
1023,10,6,4,3,2,2,1767
4099,10,8,5,2,2,1,1566
422,10,6,4,2,1,1,1568
1720,10,4,3,3,2,1,1718
1640,10,5,3,3,2,2,1672
1768,10,4,4,2,2,2,1666
1251,10,4,3,2,1,1,1546
5414,10,5,3,3,1,1,1714
302,10,3,2,2,2,1,1702
2046,10,5,4,4,3,1,1852
4296,10,2,1,1,1,1,1605
3647,10,6,4,3,2,1,1719
4087,10,3,1,1,1,1,1617
5417,10,4,2,2,2,1,1519
2502,10,3,3,3,2,2,1616
5985,10,3,2,2,1,1,1689
3339,10,5,3,1,1,1,1607
4159,10,7,1,1,1,1,1497
2357,10,1,1,1,1,1,1460
4488,10,7,4,2,1,0,1784
4096,10,5,4,4,1,0,1550
7539,10,2,1,1,1,0,1501
2175,10,2,1,1,1,0,1665
3324,10,4,3,3,1,0,1665
5010,10,4,3,2,1,0,1672
1816,10,6,3,2,1,0,1694
3256,10,5,2,1,1,0,1502
5990,10,4,1,1,0,0,1551
217,10,3,1,1,0,0,1725
4967,10,3,2,1,0,0,1594
3309,10,7,4,3,0,0,1734
1807,10,6,2,1,0,0,1773
4003,10,3,1,1,0,0,1676
5124,10,6,2,1,0,0,1601
6520,10,3,1,1,0,0,1475
5847,10,3,1,1,0,0,1607
5401,10,4,2,1,0,0,1677
1625,10,4,2,0,0,0,1633
3792,10,1,1,0,0,0,1506
291,10,2,1,0,0,0,1577
2990,10,3,0,0,0,0,1805
1389,10,4,0,0,0,0,1487
386,10,5,0,0,0,0,1638
3197,10,3,0,0,0,0,1617
293,10,1,0,0,0,0,1541
6498,10,1,0,0,0,0,1513
6652,10,0,0,0,0,0,1417
1732,9,8,7,4,3,3,1729
3620,9,6,1,1,1,1,1694
4004,9,4,2,2,2,1,1582
107,9,5,2,2,2,1,1719
1676,9,4,2,2,1,1,1752
6443,9,5,2,1,1,1,1731
1731,9,3,2,1,1,1,1611
2723,9,2,2,1,1,1,1592
340,9,5,2,2,1,1,1762
2239,9,1,1,1,1,1,1387
4776,9,6,2,1,1,1,1701
1160,9,5,1,1,1,1,1543
2614,9,5,3,2,1,1,1592
2974,9,3,3,2,1,1,1759
2062,9,5,4,3,2,1,1656
3494,9,6,4,2,1,1,1600
5507,9,4,2,2,1,1,1667
836,9,6,4,2,2,1,1729
2851,9,3,1,1,1,1,1792
1540,9,6,4,3,2,0,1773
4253,9,4,3,1,1,0,1631
33,9,6,3,2,2,0,1817
1747,9,3,1,1,1,0,1675
1574,9,3,1,1,1,0,1580
2200,9,7,4,2,1,0,1754
1899,9,4,2,1,1,0,1508
2491,9,5,2,1,1,0,1482
2823,9,4,4,2,1,0,1568
4586,9,4,3,2,1,0,1578
4342,9,4,1,1,1,0,1630
4329,9,3,1,1,0,0,1542
5254,9,4,3,2,0,0,1709
3654,9,3,1,1,0,0,1533
4910,9,2,2,1,0,0,1747
997,9,5,3,1,0,0,1680
5113,9,2,1,1,0,0,1686
4068,9,4,2,1,0,0,1482
587,9,5,4,0,0,0,1596
5549,9,4,4,0,0,0,1451
5927,9,5,2,0,0,0,1654
5172,9,3,1,0,0,0,1861
2526,9,3,2,0,0,0,1614
7034,9,1,1,0,0,0,1557
1683,9,3,0,0,0,0,1641
501,9,1,0,0,0,0,1549
178,9,2,0,0,0,0,1652
5422,9,0,0,0,0,0,1493
1860,9,0,0,0,0,0,1589
7459,9,0,0,0,0,0,1454
3171,9,0,0,0,0,0,1602
2471,8,5,2,2,2,1,1684
5404,8,2,1,1,1,1,1693
2363,8,6,4,2,2,2,1658
250,8,3,2,1,1,1,1570
3538,8,6,5,5,3,1,1928
115,8,5,3,2,1,1,1733
6800,8,3,2,2,2,2,1567
687,8,3,2,2,2,2,1646
1577,8,7,4,3,2,1,1650
294,8,5,3,3,2,1,1718
4926,8,4,2,2,2,1,1605
4534,8,2,1,1,1,1,1651
6672,8,4,2,1,1,1,1673
95,8,3,2,2,2,1,1641
4414,8,4,2,2,1,1,1727
4587,8,4,3,2,2,1,1675
238,8,4,3,3,2,1,1683
3674,8,6,4,2,1,1,1762
4499,8,6,4,3,2,2,1682
4362,8,4,3,2,2,2,1707
1305,8,4,1,1,1,1,1678
2052,8,4,4,2,1,0,1715
7103,8,3,2,2,1,0,1425
1218,8,5,2,2,1,0,1684
6996,8,5,1,1,1,0,1498
2338,8,6,2,1,0,0,1689
222,8,2,1,1,0,0,1712
5024,8,3,2,1,0,0,1619
5802,8,2,1,1,0,0,1628
639,8,4,2,1,0,0,1553
3926,8,4,3,1,0,0,1548
649,8,4,2,1,0,0,1753
2337,8,3,3,1,0,0,1673
5431,8,2,1,0,0,0,1660
2643,8,4,1,0,0,0,1470
3641,8,3,1,0,0,0,1766
3206,8,3,1,0,0,0,1588
5199,8,3,1,0,0,0,1741
2231,8,6,1,0,0,0,1696
4026,8,4,2,0,0,0,1683
1189,8,3,1,0,0,0,1582
2630,8,4,2,0,0,0,1633
4388,8,3,1,0,0,0,1563
1322,8,2,1,0,0,0,1658
2706,8,2,0,0,0,0,1603
3098,8,1,0,0,0,0,1486
4381,8,2,0,0,0,0,1550
1126,8,2,0,0,0,0,1589
3042,8,3,0,0,0,0,1642
2265,8,3,0,0,0,0,1516
2601,8,2,0,0,0,0,1572
3314,8,1,0,0,0,0,1679
365,8,0,0,0,0,0,1659
957,8,0,0,0,0,0,1572
1745,7,3,3,2,2,1,1483
401,7,4,3,3,2,2,1676
3005,7,4,4,1,1,1,1655
4130,7,5,5,3,1,1,1608
1257,7,3,2,1,1,1,1586
2177,7,2,2,2,1,1,1563
4909,7,6,6,4,3,2,1659
2410,7,3,2,2,2,1,1686
2067,7,4,2,2,2,2,1641
2976,7,4,3,2,1,1,1662
319,7,3,2,2,1,1,1756
842,7,3,3,1,1,1,1708
399,7,2,1,1,1,1,1518
604,7,3,3,3,1,1,1807
2771,7,5,3,2,2,1,1640
751,7,2,2,2,1,1,1473
1836,7,5,3,3,3,3,1705
4322,7,2,1,1,1,1,1514
6574,7,6,5,4,2,1,1577
2811,7,3,2,1,1,1,1565
2512,7,3,1,1,1,1,1534
4336,7,3,1,1,1,1,1601
4935,7,2,1,1,1,1,1508
11,7,5,2,2,2,2,1591
6090,7,3,1,1,1,1,1667
1986,7,3,2,2,1,1,1769
25,7,4,2,1,1,1,1655
2928,7,2,1,1,1,0,1662
346,7,6,3,2,1,0,1810
4572,7,6,3,1,1,0,1489
3630,7,4,3,3,1,0,1621
1671,7,2,1,1,1,0,1633
5419,7,2,1,1,1,0,1538
2549,7,3,1,1,1,0,1614
4855,7,4,2,1,1,0,1648
2506,7,4,3,3,2,0,1492
2534,7,4,2,1,1,0,1724
16,7,1,1,1,1,0,1724
6072,7,5,2,1,1,0,1527
5554,7,2,2,1,1,0,1565
1701,7,2,1,1,1,0,1554
2370,7,3,3,3,1,0,1634
4418,7,1,1,1,1,0,1517
2465,7,2,2,1,1,0,1490
2586,7,4,2,1,0,0,1526
4256,7,2,2,1,0,0,1674
4472,7,6,1,1,0,0,1597
4131,7,3,1,1,0,0,1617
41,7,4,1,1,0,0,1666
3959,7,2,1,1,0,0,1732
3181,7,4,2,1,0,0,1412
5413,7,2,1,0,0,0,1595
1557,7,4,3,0,0,0,1519
772,7,5,2,0,0,0,1561
4539,7,2,1,0,0,0,1674
5962,7,5,2,0,0,0,1518
1700,7,4,1,0,0,0,1604
852,7,3,1,0,0,0,1517
2607,7,2,1,0,0,0,1696
2557,7,2,1,0,0,0,1627
5970,7,3,1,0,0,0,1491
1711,7,3,2,0,0,0,1526
234,7,2,1,0,0,0,1758
573,7,1,0,0,0,0,1656
2106,7,3,0,0,0,0,1600
3826,7,1,0,0,0,0,1640
4173,7,2,0,0,0,0,1414
870,7,3,0,0,0,0,1772
5572,7,2,0,0,0,0,1588
7400,7,2,0,0,0,0,1518
3655,7,2,0,0,0,0,1602
4904,7,5,0,0,0,0,1511
368,7,2,0,0,0,0,1717
6662,7,4,0,0,0,0,1442
1967,7,1,0,0,0,0,1496
2202,7,1,0,0,0,0,1563
888,7,3,0,0,0,0,1575
4638,7,1,0,0,0,0,1601
4576,7,1,0,0,0,0,1398
537,7,1,0,0,0,0,1514
6038,7,1,0,0,0,0,1498
2815,7,1,0,0,0,0,1486
3473,7,1,0,0,0,0,1586
3865,7,0,0,0,0,0,1469
6722,7,0,0,0,0,0,1478
4338,7,0,0,0,0,0,1664
4741,7,0,0,0,0,0,1468
6508,7,0,0,0,0,0,1581
3158,7,0,0,0,0,0,1605
1799,7,0,0,0,0,0,1406
308,7,0,0,0,0,0,1657
4451,6,3,2,1,1,1,1690
2403,6,2,1,1,1,1,1736
48,6,5,4,4,3,2,1582
1197,6,2,2,2,1,1,1616
2075,6,5,3,3,2,2,1746
166,6,4,2,2,2,2,1568
830,6,3,2,2,1,1,1497
4192,6,3,1,1,1,1,1568
1718,6,4,3,3,2,1,1702
2605,6,2,1,1,1,1,1504
4476,6,4,2,2,2,2,1589
272,6,3,2,1,1,1,1612
4761,6,3,1,1,1,1,1536
3044,6,3,1,1,1,1,1557
2960,6,2,1,1,1,1,1719
360,6,4,3,1,1,1,1662
1675,6,5,2,2,2,1,1503
4272,6,5,4,2,1,1,1716
973,6,2,1,1,1,1,1836
131,6,3,3,2,1,1,1560
967,6,3,3,1,1,1,1685
2655,6,3,3,2,1,1,1643
179,6,3,3,2,1,1,1848
395,6,4,1,1,1,1,1469
2702,6,5,4,2,2,1,1618
670,6,4,2,1,1,0,1557
4944,6,5,2,2,2,0,1667
2194,6,5,4,4,1,0,1653
1318,6,1,1,1,1,0,1666
4327,6,3,3,2,2,0,1574
2415,6,4,4,4,1,0,1494
6814,6,3,2,1,1,0,1527
1937,6,3,1,1,1,0,1677
5090,6,2,1,1,1,0,1465
498,6,2,2,1,1,0,1625
6135,6,4,1,1,1,0,1621
5675,6,5,2,2,1,0,1632
5012,6,5,4,2,2,0,1662
2539,6,4,3,1,1,0,1741
1360,6,3,1,1,1,0,1645
977,6,1,1,1,1,0,1657
581,6,2,1,1,1,0,1492
4230,6,3,2,1,1,0,1503
103,6,4,1,1,0,0,1669
2451,6,4,1,1,0,0,1655
456,6,1,1,1,0,0,1676
3461,6,3,2,1,0,0,1622
701,6,3,1,1,0,0,1558
3216,6,3,1,1,0,0,1498
4255,6,1,1,1,0,0,1494
5409,6,3,2,1,0,0,1507
5112,6,4,1,1,0,0,1530
199,6,5,2,1,0,0,1493
3596,6,1,1,1,0,0,1440
1481,6,2,1,1,0,0,1670
7048,6,3,1,1,0,0,1511
5827,6,4,2,1,0,0,1666
2682,6,2,1,0,0,0,1584
5700,6,3,1,0,0,0,1590
3196,6,5,2,0,0,0,1677
2708,6,2,1,0,0,0,1464
263,6,2,1,0,0,0,1589
6941,6,1,1,0,0,0,1557
1319,6,2,1,0,0,0,1509
5885,6,1,1,0,0,0,1608
6418,6,3,2,0,0,0,1605
3566,6,2,1,0,0,0,1593
3707,6,1,1,0,0,0,1852
3481,6,4,1,0,0,0,1514
4593,6,2,1,0,0,0,1602
5468,6,1,1,0,0,0,1585
6351,6,1,1,0,0,0,1500
108,6,1,1,0,0,0,1594
6517,6,4,1,0,0,0,1476
7477,6,3,1,0,0,0,1401
3492,6,3,1,0,0,0,1535
6479,6,1,0,0,0,0,1624
4930,6,1,0,0,0,0,1642
7153,6,2,0,0,0,0,1471
2998,6,1,0,0,0,0,1650
980,6,1,0,0,0,0,1463
3574,6,2,0,0,0,0,1547
2832,6,1,0,0,0,0,1582
5801,6,3,0,0,0,0,1699
5937,6,4,0,0,0,0,1544
3075,6,3,0,0,0,0,1591
225,6,1,0,0,0,0,1827
4415,6,2,0,0,0,0,1588
7127,6,3,0,0,0,0,1603
1477,6,2,0,0,0,0,1627
2556,6,1,0,0,0,0,1617
810,6,1,0,0,0,0,1519
135,6,2,0,0,0,0,1661
4079,6,2,0,0,0,0,1640
2642,6,1,0,0,0,0,1675
5137,6,1,0,0,0,0,1553
811,6,1,0,0,0,0,1518
281,6,1,0,0,0,0,1572
5430,6,0,0,0,0,0,1401
5920,6,0,0,0,0,0,1600
192,6,0,0,0,0,0,1541
6171,6,0,0,0,0,0,1526
1418,6,0,0,0,0,0,1676
467,6,0,0,0,0,0,1504
6404,6,0,0,0,0,0,1514
1018,5,2,2,2,2,2,1577
1493,5,2,2,1,1,1,1712
5818,5,4,3,2,2,2,1679
3739,5,3,1,1,1,1,1529
4564,5,3,3,2,1,1,1649
246,5,3,2,2,1,1,1502
3175,5,4,2,2,1,1,1602
1108,5,4,3,1,1,1,1436
1796,5,3,3,3,2,1,1810
2056,5,5,4,4,2,1,1950
3419,5,3,1,1,1,1,1506
4467,5,4,2,2,1,1,1461
3504,5,3,2,2,2,2,1544
3303,5,2,1,1,1,1,1506
4990,5,3,1,1,1,1,1579
1787,5,3,2,2,1,1,1608
1310,5,3,2,1,1,1,1701
5338,5,3,3,2,1,1,1631
253,5,4,2,1,1,1,1622
614,5,2,1,1,1,1,1661
5895,5,5,2,1,1,1,1672
6502,5,3,2,2,1,1,1608
7492,5,2,1,1,1,1,1560
4013,5,1,1,1,1,1,1514
668,5,3,2,2,2,1,1443
2582,5,4,3,1,1,1,1656
58,5,4,2,1,1,0,1629
6843,5,1,1,1,1,0,1472
6619,5,1,1,1,1,0,1396
1756,5,5,2,1,1,0,1652
1923,5,2,2,1,1,0,1692
1405,5,3,2,2,1,0,1598
955,5,3,2,1,1,0,1457
4039,5,4,2,2,2,0,1680
1507,5,2,1,1,1,0,1697
3539,5,2,2,2,1,0,1589
5126,5,4,1,1,1,0,1557
3452,5,2,1,1,1,0,1754
175,5,2,1,1,1,0,1576
2262,5,4,3,2,1,0,1512
