team,lat,lng
1,42.668,-83.289
4,34.201,-118.487
8,37.444,-122.15
11,40.845,-74.702
16,36.331,-92.375
20,42.85,-73.785
21,28.627,-80.843
23,41.91,-70.642
25,40.454,-74.482
27,42.724,-83.423
28,40.982,-72.307
31,36.015,-95.98
33,42.658,-83.237
34,34.804,-86.971
41,40.632,-74.51
45,40.451,-86.135
48,41.264,-80.816
51,42.644,-83.279
56,40.568,-74.54
58,43.632,-70.271
59,25.734,-80.359
60,35.133,-113.703
61,42.176,-71.603
63,42.074,-80.148
66,42.233,-83.634
67,42.66,-83.637
68,42.841,-83.429
69,42.249,-70.998
70,42.915,-83.484
71,41.61,-87.508
74,42.769,-86.116
75,40.477,-74.627
78,41.499,-71.299
79,28.146,-82.683
81,42.299,-89.635
85,42.826,-86.01
86,30.241,-81.617
87,40.009,-74.79
88,41.977,-70.972
93,44.242,-88.356
94,42.472,-83.294
95,43.672,-72.381
97,42.377,-71.126
100,37.425,-122.296
101,41.946,-87.806
102,40.588,-74.687
103,40.531,-75.212
107,42.769,-86.116
108,26.142,-80.173
111,42.064,-87.986
114,37.381,-122.126
115,37.318,-122.045
116,38.984,-77.368
117,40.431,-79.921
118,29.517,-95.096
120,41.495,-81.667
121,41.52,-71.273
122,37.046,-76.41
123,42.408,-83.058
125,42.343,-71.092
126,42.418,-71.683
128,39.987,-83.046
131,43.007,-71.448
133,43.814,-70.481
135,41.684,-86.168
136,40.615,-74.415
138,42.857,-71.608
141,42.813,-86.143
144,39.267,-84.599
145,42.541,-75.527
148,33.105,-96.093
151,42.724,-71.489
155,41.621,-72.746
156,42.041,-80.24
157,42.351,-71.543
159,40.581,-105.104
166,42.867,-71.513
167,41.644,-91.567
171,42.739,-90.485
172,43.684,-70.468
173,41.87,-72.372
174,43.153,-76.224
175,41.989,-72.565
176,41.926,-72.646
177,41.834,-72.558
178,41.728,-72.841
179,26.783,-80.064
180,27.14,-80.213
181,41.75,-72.695
188,43.771,-79.214
190,42.283,-71.828
191,43.17,-77.601
192,37.418,-122.127
193,40.845,-74.702
195,41.605,-72.873
199,37.517,-122.293
201,42.659,-83.123
203,39.735,-74.986
204,39.85,-74.965
207,33.914,-118.349
213,42.963,-72.296
216,42.894,-85.762
217,42.612,-83.034
219,40.758,-74.991
222,41.539,-75.947
223,41.054,-74.279
224,40.551,-74.459
225,39.959,-76.659
226,42.599,-83.179
228,41.533,-72.8
229,44.67,-74.981
230,41.305,-73.129
231,29.679,-95.198
233,28.313,-80.732
234,39.678,-86.198
236,41.335,-72.309
237,41.606,-73.122
238,42.966,-71.449
240,41.929,-83.445
244,42.894,-85.762
245,42.726,-83.157
246,42.347,-71.103
247,42.503,-83.189
250,42.72,-73.821
253,37.6,-122.402
254,37.339,-121.895
256,37.296,-121.894
263,40.808,-73.13
269,43.109,-88.486
271,40.705,-73.243
272,40.238,-75.296
279,41.582,-83.663
280,42.232,-83.267
281,34.828,-82.352
283,34.892,-82.4
287,40.766,-72.854
288,42.894,-85.762
291,42.098,-80.094
292,40.415,-86.267
293,40.334,-74.794
294,33.831,-118.383
295,38.743,-121.19
296,45.46,-73.63
299,37.318,-122.045
302,42.743,-83.272
303,40.59,-74.627
308,42.558,-83.477
313,42.277,-83.376
314,43.011,-83.803
316,39.699,-75.45
319,43.463,-71.23
321,40.036,-75.145
322,43.057,-83.75
323,36.331,-92.375
329,40.817,-72.985
330,33.862,-118.4
333,40.598,-73.974
334,40.682,-73.98
335,40.694,-73.99
337,37.849,-81.993
339,38.459,-77.431
340,43.075,-77.835
341,40.181,-75.216
342,32.893,-80.046
343,34.774,-82.946
346,37.392,-77.567
348,42.16,-70.822
352,40.751,-73.612
353,40.778,-73.482
354,40.694,-73.99
358,40.823,-73.196
359,21.577,-158.127
360,47.248,-122.464
364,30.396,-89.035
365,39.736,-75.665
368,21.3,-157.844
369,40.584,-73.954
371,40.632,-74.093
378,43.272,-78.707
379,41.161,-80.693
383,-30.033,-51.23
384,37.464,-77.398
386,28.069,-80.62
395,40.832,-73.91
399,34.747,-118.369
401,37.135,-80.419
418,30.296,-97.64
422,37.55,-77.459
423,40.087,-75.152
433,40.107,-75.212
435,35.708,-78.656
441,29.799,-95.412
442,34.745,-86.67
447,40.099,-85.685
449,39.019,-77.008
451,41.582,-83.663
453,42.594,-82.913
456,32.326,-90.851
457,29.337,-98.539
461,40.444,-86.924
467,42.285,-71.721
468,42.982,-83.734
469,42.587,-83.236
470,42.233,-83.634
484,39.977,-75.311
486,39.887,-75.372
488,47.585,-122.3
492,47.615,-122.166
494,42.915,-83.484
496,40.946,-73.061
498,33.624,-112.178
501,42.994,-71.488
503,42.46,-83.458
509,42.94,-71.521
514,40.944,-72.991
522,40.632,-74.093
525,42.524,-92.45
527,40.668,-73.459
533,40.688,-73.374
537,43.144,-88.227
538,34.328,-86.49
539,37.513,-77.565
540,37.52,-77.437
545,40.725,-73.517
547,35.153,-86.566
548,42.409,-83.498
554,39.079,-84.452
555,40.813,-74.216
558,41.296,-72.937
564,40.878,-72.953
568,61.166,-149.96
569,40.756,-73.572
571,41.856,-72.664
573,42.544,-83.279
578,43.089,-77.436
580,34.143,-118.391
581,37.352,-121.851
585,35.132,-118.449
587,36.076,-79.091
589,34.232,-118.246
590,32.757,-89.115
597,34.029,-118.315
599,34.277,-118.499
601,40.873,-72.52
604,37.214,-121.857
606,33.929,-118.246
610,43.767,-79.416
611,38.933,-77.171
612,38.887,-77.446
614,38.76,-77.148
617,37.546,-77.328
619,38.027,-78.481
620,38.898,-77.288
623,38.898,-77.288
624,29.74,-95.83
639,42.441,-76.497
640,40.712,-73.794
647,31.006,-97.841
648,41.511,-90.738
649,37.271,-122.023
653,29.439,-98.493
662,39.09,-103.819
663,42.115,-71.664
668,37.257,-121.89
670,37.318,-122.045
677,39.954,-82.93
686,39.479,-77.348
687,33.867,-118.254
691,34.398,-118.553
692,38.568,-121.437
694,40.717,-74.015
695,41.47,-81.523
696,34.232,-118.246
698,33.251,-111.859
701,38.267,-122.036
702,33.995,-118.399
703,43.425,-83.975
706,43.117,-88.345
708,40.182,-75.148
709,40.024,-75.329
714,40.766,-74.169
716,41.956,-73.363
743,40.874,-73.871
744,26.184,-80.134
746,43.757,-79.521
747,40.576,-74.501
751,37.37,-122.218
753,44.093,-121.294
766,37.456,-122.2
771,43.476,-79.659
772,42.219,-83.08
773,42.05,-82.76
781,44.166,-81.601
801,28.389,-80.73
806,40.625,-74.03
810,40.854,-73.214
811,42.756,-71.467
812,32.847,-117.274
815,42.252,-83.212
816,40.009,-74.79
818,42.515,-82.997
829,39.789,-85.978
830,42.304,-83.707
832,34.041,-84.386
834,40.54,-75.424
835,42.522,-83.252
836,38.352,-76.563
839,42.07,-72.623
841,37.926,-122.334
842,33.456,-112.128
846,37.307,-122
847,44.549,-123.392
848,33.742,-118.312
852,37.832,-121.917
854,43.651,-79.552
857,47.116,-88.558
858,42.913,-85.705
862,42.332,-83.469
865,43.66,-79.463
867,34.124,-118.052
868,39.971,-86.124
870,41.056,-72.429
871,40.712,-73.301
876,47.759,-97.604
877,48.487,-99.21
884,40.675,-73.673
885,43.938,-72.597
888,39.255,-77.02
894,43.013,-83.691
900,36.022,-78.948
904,42.966,-85.653
907,43.691,-79.312
910,42.502,-83.103
919,43.668,-79.421
930,42.882,-88.345
931,38.618,-90.256
932,36.098,-95.923
935,38.045,-97.344
937,39.028,-94.656
938,38.407,-95.249
945,28.552,-81.305
948,47.561,-122.155
949,47.615,-122.207
955,44.59,-123.272
957,44.652,-123.133
967,42.041,-91.594
968,34.065,-117.898
971,37.386,-122.088
972,37.23,-121.983
973,35.475,-120.664
977,36.696,-78.919
980,34.305,-118.432
981,34.882,-118.857
987,36.197,-115.264
988,36.143,-115.2
991,33.51,-112.068
996,32.891,-111.754
997,44.59,-123.272
999,41.505,-72.908
1002,33.968,-84.439
1011,32.347,-111.042
1014,40.109,-83.115
1018,39.868,-86.212
1023,41.768,-83.58
1024,39.898,-86.009
1025,42.459,-83.136
1027,42.115,-72.641
1038,39.515,-84.398
1051,34.204,-79.254
1058,42.866,-71.377
1065,28.305,-81.424
1071,41.597,-72.983
1072,37.307,-122
1073,42.748,-71.577
1075,43.922,-78.941
1076,42.279,-83.784
1080,37.464,-77.398
1085,41.791,-72.865
1086,37.728,-77.554
1089,40.267,-74.525
1091,43.316,-88.371
1094,38.824,-90.743
1099,41.465,-73.398
1100,42.318,-71.646
1102,33.46,-81.973
1108,38.572,-94.894
1111,38.915,-76.542
1114,43.192,-79.256
1123,38.846,-77.324
1124,41.791,-72.865
1126,43.22,-77.462
1137,37.438,-76.354
1138,34.22,-118.611
1143,41.488,-75.706
1153,42.144,-71.254
1155,40.866,-73.9
1156,-29.678,-51.131
1157,40.017,-105.285
1159,34.075,-118.143
1160,34.121,-118.112
1164,32.316,-106.799
1165,33.624,-112.004
1168,40.047,-75.531
1178,38.657,-90.454
1188,42.519,-83.157
1189,42.427,-82.9
1197,33.811,-118.351
1208,38.572,-89.896
1209,36.188,-95.986
1212,33.33,-111.863
1218,40.072,-75.203
1225,35.319,-82.5
1228,40.609,-74.282
1230,40.846,-73.841
1241,43.597,-79.693
1243,42.947,-83.817
1245,39.979,-105.146
1246,43.795,-79.264
1247,43.365,-71.934
1248,41.368,-81.862
1250,42.294,-83.254
1251,26.212,-80.27
1254,42.208,-86.052
1255,29.746,-94.965
1257,40.638,-74.368
1258,47.575,-122.393
1259,43.079,-88.273
1261,34.042,-84.026
1262,36.687,-79.869
1266,32.824,-117.197
1277,42.612,-71.558
1279,40.588,-74.687
1280,37.814,-121.966
1285,43.597,-79.693
1287,33.738,-78.979
1288,38.738,-90.623
1289,42.691,-71.16
1290,33.31,-111.824
1293,34.073,-81.18
1294,47.625,-122.046
1296,32.949,-96.442
1303,42.846,-106.317
1305,46.336,-79.583
1306,43.074,-89.508
1307,43.189,-70.887
1308,41.482,-81.702
1310,43.651,-79.483
1311,34.029,-84.605
1317,40.152,-82.882
1318,47.497,-122.011
1319,34.781,-82.303
1322,42.785,-83.729
1323,36.94,-120.082
1325,43.584,-79.561
1329,38.657,-90.454
1332,39.245,-107.925
1334,43.476,-79.659
1339,39.733,-104.952
1350,41.838,-71.438
1351,37.307,-122
1359,44.532,-122.882
1360,43.476,-79.659
1369,27.995,-82.405
1370,39.481,-75.683
1374,43.45,-79.683
1378,19.703,-155.094
1382,-23.179,-45.887
1388,35.166,-120.465
1389,38.99,-77.154
1391,39.944,-75.588
1398,34.063,-81.026
1403,40.417,-74.694
1405,43.14,-77.456
1410,39.688,-104.911
1413,36.732,-78.531
1414,33.832,-84.385
1418,38.899,-77.189
1421,30.542,-89.691
1422,36.858,-119.766
1425,45.299,-122.77
1432,45.484,-122.597
1444,38.548,-90.324
1446,38.89,-76.938
1448,37.339,-95.269
1450,43.183,-77.604
1452,34.003,-118.43
1458,37.814,-121.966
1466,35.933,-84.076
1468,40.762,-73.523
1474,42.603,-71.223
1477,30.226,-95.492
1481,42.505,-83.407
1482,50.982,-114.1
1492,33.423,-111.926
1493,42.7,-73.858
1495,39.825,-75.837
1501,40.881,-85.505
1502,42.321,-84.033
1504,42.705,-84.419
1506,43.057,-83.75
1507,43.16,-78.692
1510,45.548,-122.828
1511,43.14,-77.456
1512,43.218,-71.528
1515,34.062,-118.4
1517,43.218,-71.528
1518,43.062,-77.222
1519,42.828,-71.661
1522,37.669,-77.329
1523,26.823,-80.139
1528,41.908,-83.472
1529,39.679,-86.13
1533,36.078,-79.909
1538,32.727,-117.227
1539,35.106,-81.22
1540,45.498,-122.779
1546,40.655,-73.61
1551,42.64,-77.39
1553,34.23,-80.715
1554,40.636,-73.638
1555,41.71,-85.973
1557,28.855,-81.679
1559,42.987,-77.418
1561,35.617,-97.558
1566,43.552,-111.892
1569,42.846,-112.443
1571,45.515,-122.42
1572,32.797,-117.171
1573,32.766,34.942
1574,32.859,35.26
1576,32.081,34.781
1577,32.184,34.874
1580,31.669,34.571
1583,39.762,-104.583
1584,39.97,-105.481
1585,42.976,-77.244
1590,41.458,-82.171
1591,43.257,-77.665
1592,28.391,-80.787
1595,47.737,-117.435
1596,46.415,-84.285
1598,36.578,-79.441
1599,37.669,-77.329
1600,40.67,-73.894
1601,40.745,-73.934
1610,36.679,-76.939
1619,40.178,-105.101
1622,32.976,-117.04
1625,42.273,-89.237
1626,40.545,-74.352
1629,39.636,-79.308
1633,33.423,-111.926
1635,40.735,-73.878
1640,40.016,-75.718
1642,32.749,-97.218
1646,40.4,-86.86
1647,39.86,-74.669
1648,33.798,-84.388
1649,28.501,-81.535
1657,32.944,35.084
1658,38.535,-90.407
1660,40.827,-73.938
1661,34.153,-118.432
1662,38.131,-121.335
1665,42.247,-73.755
1671,36.843,-119.652
1672,41.082,-74.186
1675,42.975,-87.895
1676,41.05,-74.038
1677,42.281,-85.686
1678,38.554,-121.742
1683,34.026,-84.147
1684,43.058,-83.333
1690,32.526,34.937
1699,41.566,-72.344
1700,37.444,-122.15
1701,42.426,-83.15
1706,38.802,-90.853
1708,40.348,-79.864
1710,38.886,-94.82
1711,44.763,-85.621
1712,40.002,-75.297
1714,42.975,-87.895
1716,44.439,-88.081
1718,42.841,-82.89
1719,39.398,-76.672
1720,40.228,-85.397
1721,43.218,-71.528
1723,39.098,-94.411
1726,31.537,-110.267
1727,39.433,-76.655
1729,42.751,-71.87
1730,38.912,-94.352
1731,38.84,-77.891
1732,43.049,-87.963
1735,42.311,-71.796
1736,40.692,-89.589
1737,39.339,-94.226
1739,41.802,-87.601
1740,41.44,-71.996
1741,39.596,-86.131
1743,40.448,-79.993
1744,26.153,-81.742
1745,32.966,-96.745
1746,34.232,-84.158
1747,40.444,-86.924
1750,36.104,-97.061
1751,40.914,-73.046
1756,40.678,-89.626
1757,42.215,-71.21
1758,34.123,-79.689
1759,33.924,-118.412
1761,42.47,-70.942
1763,39.036,-94.572
1764,39.246,-94.419
1768,42.437,-71.608
1769,39.069,-94.718
1771,34.042,-84.026
1772,-29.942,-50.993
1775,39.084,-94.587
1777,38.957,-94.683
1778,47.793,-122.308
1781,41.776,-87.667
1785,39.015,-94.312
1786,42.897,-72.05
1787,41.501,-81.469
1791,39.659,-75.094
1792,42.889,-87.903
1793,36.891,-76.24
1795,33.705,-84.381
1796,40.745,-73.934
1797,51.509,-0.126
1799,39.592,-105.133
1802,39.143,-94.786
1803,40.835,-73.696
1806,39.392,-94.559
1807,40.159,-74.591
1810,39.042,-94.72
1811,40.727,-74.156
1816,44.874,-93.375
1817,33.578,-101.855
1818,32.398,-93.802
1825,38.898,-94.598
1827,38.971,-94.577
1828,32.003,-110.705
1831,43.547,-71.407
1836,34.066,-118.474
1847,39.113,-94.669
1860,-23.179,-45.887
1868,37.386,-122.084
1872,18.466,-66.106
1876,32.208,-80.748
1880,40.792,-73.945
1884,51.509,-0.126
1885,38.867,-77.644
1891,43.615,-116.397
1895,38.749,-77.488
1896,44.763,-85.621
1899,47.611,-122.116
1902,28.5,-81.329
1908,37.353,-75.946
1912,30.273,-89.729
1915,38.902,-76.99
1918,43.465,-85.963
1922,43.198,-71.697
1923,40.332,-74.569
1927,30.511,-88.968
1937,31.887,35.019
1939,38.962,-94.596
1940,42.109,-86.423
1942,31.815,34.78
1943,32.094,34.974
1944,32.818,34.989
1954,31.252,34.791
1965,42.353,-71.133
1967,37.348,-121.887
1972,32.789,-115.567
1973,42.348,-71.157
1977,40.426,-105.09
1982,39.042,-94.72
1983,47.541,-122.313
1984,38.958,-94.645
1985,38.807,-90.34
1986,38.852,-94.394
1987,38.944,-94.288
1989,41.185,-74.533
1991,41.791,-72.696
1994,39.138,-94.679
1997,39.028,-94.656
2001,38.93,-94.501
2010,41.264,-80.816
2013,44.327,-80.033
2016,40.238,-74.782
2022,41.766,-88.345
2027,40.788,-73.588
2028,37.032,-76.32
2035,36.543,-121.926
2036,39.981,-105.253
2039,42.355,-89.04
2040,40.844,-89.64
2046,47.385,-122.057
2048,42.377,-83.08
2051,40.57,-79.966
2052,45.079,-93.187
2053,42.151,-76.055
2054,42.642,-85.732
2056,43.224,-79.699
2059,35.722,-78.841
2062,42.999,-88.22
2064,41.477,-73.224
2067,41.315,-72.697
2068,38.771,-77.449
2070,40.833,-74.001
2073,38.423,-121.36
2075,42.974,-85.727
2077,43.009,-88.379
2078,30.488,-90.096
2079,42.075,-71.477
2080,30.519,-90.488
2081,40.768,-89.603
2083,39.52,-105.317
2084,42.58,-70.767
2085,38.385,-121.989
2090,21.312,-157.83
2095,39.986,-75.407
2096,31.071,35.033
2102,33.053,-117.269
2106,37.769,-78.011
2122,43.574,-116.294
2129,44.912,-93.319
2130,48.731,-116.332
2135,37.296,-121.894
2136,41.849,-87.716
2137,42.822,-83.283
2141,37.95,-122.026
2143,44.784,-91.488
2144,37.456,-122.2
2145,42.81,-83.799
2147,47.669,-117.305
2148,47.663,-117.219
2151,41.874,-87.811
2152,29.138,-80.996
2158,30.404,-97.753
2161,40.814,-73.363
2164,38.642,-94.329
2165,36.737,-95.925
2167,40.343,-94.874
2168,41.357,-72.058
2169,44.761,-93.343
2170,41.707,-72.573
2171,41.424,-87.356
2172,41.485,-81.802
2175,44.92,-92.944
2177,44.87,-93.143
2180,40.234,-74.658
2181,45.168,-93.25
2183,29.897,-90.393
2186,38.887,-77.446
2187,33.873,-79.056
2190,31.347,-89.222
2191,40.242,-74.696
2194,43.774,-88.435
2197,41.705,-86.484
2199,39.499,-76.91
2200,43.381,-79.886
2202,43.062,-88.098
2204,37.633,-122.097
2207,45.08,-93.022
2212,31.947,34.89
2220,44.804,-93.167
2221,30.421,-90.059
2224,42.426,-83.195
2225,45.282,-93.419
2227,45.095,-93.24
2228,42.969,-77.578
2230,32.166,34.825
2231,31.999,34.946
2232,45.282,-93.419
2234,39.986,-75.407
2239,44.953,-93.437
2240,39.739,-104.985
2246,45.015,-84.386
2252,41.311,-82.613
2259,39.767,-105.02
2261,40.178,-105.101
2262,42.203,-71.436
2264,45.04,-93.487
2265,40.866,-73.9
2283,19.337,-99.185
2333,36.003,-96.111
2335,38.992,-94.634
2337,42.928,-83.626
2338,41.685,-88.345
2339,34.713,-117.878
2340,43.145,-77.549
2341,35.387,-96.933
2342,42.779,-71.475
2344,40.946,-73.867
2345,39.365,-94.362
2347,40.678,-73.396
2352,34.78,-96.692
2353,39.038,-94.593
2354,34.519,-97.973
2357,38.717,-94.441
2358,42.217,-88.077
2359,35.621,-97.473
2363,37.113,-76.518
2367,37.386,-122.088
2370,43.614,-72.971
2373,35.116,-98.43
2374,45.498,-122.779
2375,33.456,-112.069
2377,39.121,-76.495
2383,26.11,-80.322
2386,43.323,-79.809
2393,35.933,-84.076
2395,35.581,-97.642
2398,35.9,-95.04
2399,41.47,-81.523
2403,33.432,-111.643
2404,34.191,-118.139
2405,43.144,-86.139
2408,38.781,-90.367
2410,38.862,-94.661
2411,45.565,-122.645
2412,47.615,-122.166
2415,33.863,-84.42
2421,38.789,-77.282
2423,42.37,-71.177
2424,35.942,-95.883
2425,27.985,-82.463
2429,34.222,-118.205
2437,21.289,-157.801
2438,21.294,-157.828
2439,20.897,-156.504
2441,21.312,-157.83
2443,20.881,-156.478
2444,21.329,-157.862
2445,21.345,-158.087
2449,33.251,-111.859
2450,44.914,-93.173
2451,41.919,-88.307
2457,39.44,-94.197
2458,40.722,-74.671
2461,35.426,-97.526
2465,21.982,-159.368
2468,30.297,-97.818
2470,44.826,-93.354
2471,45.606,-122.414
2472,45.153,-93.144
2473,37.318,-122.045
2474,41.82,-86.237
2477,21.398,-158.012
2478,33.432,-111.847
2480,44.938,-93.221
2481,40.505,-89.483
2484,40.887,-111.903
2485,32.797,-117.171
2486,35.226,-111.574
2487,40.738,-73.13
2489,37.518,-121.929
2491,44.981,-93.177
2493,33.931,-117.412
2495,40.22,-74.594
2496,33.742,-117.747
2498,44.967,-93.283
2499,47.416,-92.936
2500,45.024,-93.302
2501,45.013,-93.03
2502,44.877,-93.483
2503,46.35,-94.1
2506,42.902,-88.009
2508,45.061,-92.847
2509,44.895,-94.385
2511,44.675,-93.258
2512,46.855,-92.007
2513,45.019,-93.24
2515,44.448,-95.779
2518,44.829,-93.039
2521,44.019,-123.1
2522,47.84,-122.197
2523,44.427,-72.005
2525,45.006,-93.419
2526,45.128,-93.459
2529,44.932,-93.088
2530,44.011,-92.397
2531,44.806,-93.608
2532,45.269,-92.975
2534,39.351,-76.632
2537,39.214,-76.879
2538,45.592,-95.917
2539,40.301,-76.589
2543,32.632,-116.941
2544,42.177,-79.942
2545,45.052,-93.254
2549,44.903,-93.289
2550,45.338,-122.57
2551,38.116,-122.571
2554,40.578,-74.359
2556,30.517,-86.482
2557,47.207,-122.444
2559,40.291,-76.82
2560,38.882,-94.52
2574,45.019,-93.24
2576,-33.457,-70.648
2577,40.679,-74.561
2579,40.761,-73.93
2582,31.27,-94.647
2583,30.422,-97.797
2584,34.201,-118.539
2585,29.702,-95.461
2586,47.244,-88.459
2587,29.735,-95.412
2590,40.22,-74.594
2591,42.434,-83.043
2594,43.594,-116.536
2600,41.03,-74.52
2601,40.728,-73.82
2603,41.14,-81.858
2604,43.026,-82.93
2605,48.749,-122.489
2606,44.739,-93.126
2607,40.207,-75.091
2609,43.559,-80.3
2611,42.255,-84.388
