Region,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alabama,0,0,0,0,0,1,1,1,2,3,4,5,9,6,7,4,4,7,9,10,11,10,8,9,12,11,14
Alaska,0,0,0,0,0,0,0,0,1,4,6,6,6,4,2,3,3,3,3,2,2,2,1,1,1,1,1
Alberta,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,2,14,23,24,21,22,20
Arizona,0,0,1,1,1,2,3,3,4,6,11,17,18,17,24,27,38,37,39,37,44,44,48,52,50,58,60
Arkansas,0,0,0,0,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,3,7,16,14,18,17,22,25
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,5,25,39,51,52
Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Brazil,0,0,0,0,0,0,0,0,1,1,1,2,3,6,5,15,14,6,5,5,5,6,5,5,6,7,9
British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,2,1,0,0,0,0,1,1,11,20
California,0,0,0,1,1,4,6,20,28,67,76,92,95,106,110,124,142,146,153,177,197,214,231,241,259,281,315
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2,2,2,3
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,23,34,53,80
Chinese Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,7
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
Colorado,0,0,0,0,0,0,1,1,2,3,3,6,18,22,23,33,29,33,35,35,40,41,39,35,36,35,36
Connecticut,0,0,2,4,7,9,11,15,17,23,25,28,28,29,27,32,31,33,37,42,41,46,45,47,48,51,51
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Delaware,0,0,0,0,0,0,0,0,2,3,3,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,1,2,2,1,2,6,7,4,15,15,14,15,15,14,13,13,14,11
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Florida,0,0,0,1,2,3,12,18,22,27,29,32,38,40,43,43,43,41,43,55,75,72,64,64,71,76,80
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Georgia,0,0,0,0,0,0,0,0,0,1,1,16,32,25,26,14,27,29,31,37,47,50,56,62,66,76,82
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Hawaii,0,0,0,0,0,0,0,0,2,3,5,6,4,4,2,4,25,24,24,32,36,30,29,26,26,27,25
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,8,9,11,13,16,16,14,13,15,14,15
Illinois,1,0,1,1,3,4,7,7,7,10,10,12,13,12,16,27,33,45,44,42,55,58,58,58,58,55,57
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Indiana,1,1,1,1,2,2,3,5,8,9,11,16,20,21,24,25,27,30,34,34,42,51,52,49,49,49,49
Iowa,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,4,4,4,5,6,7,9,12,22,29
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,33,36,47,51,48,44,47,52,55,62,64,70
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2
Kansas,0,0,0,0,0,0,0,0,0,0,7,8,8,11,15,19,21,20,19,19,20,20,23,22,22,23,24
Kentucky,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,12,12,12,10,12,13,12,11
Kingdom,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,2,1,1,1,1,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,1,1,1,3,5,9,17,17,16,17,24,31,32,30,28,34,33,36
Maine,0,0,0,0,2,3,3,3,3,2,2,3,4,4,3,5,6,7,6,8,10,14,18,21,24,26,26
Maryland,0,0,0,0,0,1,3,3,4,5,8,12,16,14,22,24,28,26,30,34,36,38,39,36,41,40,39
Massachusetts,2,1,2,5,9,10,12,14,16,23,26,25,27,28,41,53,53,52,52,53,57,57,60,65,68,72,78
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,3,12,21,37,38,39,53,70,80
Michigan,0,0,0,2,5,13,21,36,50,62,71,83,87,93,99,107,117,132,140,171,190,203,277,347,411,451,508
Minnesota,0,0,1,1,1,1,2,2,2,1,2,1,0,1,2,16,54,81,105,131,153,180,186,192,208,209,215
Mississippi,0,0,0,0,0,0,0,0,3,5,6,7,6,5,6,10,12,11,12,10,10,10,9,8,9,9,11
Missouri,0,0,0,0,0,0,0,0,0,0,2,11,16,15,34,47,49,52,48,52,58,62,66,69,74,72,73
Montana,0,0,0,0,0,0,0,0,1,1,1,1,1,5,10,7,3,4,6,6,6,5,2,2,1,2,2
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,3
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,2,2,2,4
Nevada,0,0,0,0,0,0,0,0,0,0,8,10,9,8,8,13,15,14,12,11,10,11,8,10,9,9,15
New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,1,1,2,5,5,5,7,11,12,11,14,15,19,22,17,26,27,26,29,31,29,28,30,33,32,36,43
New Jersey,0,0,0,0,0,8,12,18,19,27,28,31,39,46,56,57,63,62,63,63,62,71,70,73,76,75,81
New Mexico,0,0,0,0,0,0,0,0,1,1,0,1,4,2,3,3,4,4,3,2,6,5,5,5,5,6,8
New York,2,2,3,3,4,5,6,17,32,57,59,67,73,90,95,101,112,122,119,128,133,144,148,147,155,160,173
Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,2,3,6,6,7,7,6,7,12,11,19,36,37,42,43,50,52,60,68
North Dakota,0,0,0,0,0,0,0,0,0,0,9,9,9,6,4,4,5,5,3,3,2,3,3,3,3,3,4
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ohio,0,0,1,2,3,4,5,8,11,13,25,31,37,34,32,32,37,42,47,47,56,60,55,56,58,60,64
Oklahoma,0,0,0,0,0,1,1,1,2,3,4,4,3,5,8,12,39,47,49,48,48,48,46,48,51,51,48
Ontario,0,0,0,0,0,0,1,1,1,1,25,38,62,56,58,59,59,57,54,65,78,73,115,128,140,147,160
Oregon,0,0,0,0,0,0,0,0,0,0,8,10,12,14,14,17,23,28,33,35,43,43,42,43,43,50,51
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pennsylvania,0,0,0,0,0,4,6,17,26,35,32,40,39,42,41,42,50,48,45,48,65,71,70,74,69,67,67
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Puerto Rico,0,0,0,0,0,0,0,0,0,0,2,3,3,1,2,2,10,6,3,2,1,1,2,1,1,1,1
Québec,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,3,3,9,14,32,32,39,43,45,43,48
Rhode Island,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,2,2,4,5,5,6,6,6,6,6,6
Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
South Carolina,0,0,0,0,0,0,0,1,5,6,9,13,18,21,24,21,21,22,21,24,30,35,40,41,42,44,45
South Dakota,0,0,0,0,0,0,0,0,0,0,9,10,10,3,3,2,1,0,0,0,0,1,2,2,2,2,1
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tennessee,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,3,7,10,16,26,36,42,45,34,35,34
Texas,0,1,1,1,1,2,3,6,13,24,23,19,29,27,33,35,45,91,104,144,147,140,132,136,142,156,162
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,8,20,55,76
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,16,18,18,20,22,20,21,24,24
Vermont,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,4,4,4,4,4,4,3,4,4,4,5
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Virginia,0,0,0,0,1,2,2,2,15,34,35,47,48,55,57,57,58,59,66,68,66,68,71,76,80,74,76
Washington,0,0,0,0,0,0,0,0,3,5,8,8,14,15,15,18,25,49,59,82,96,113,110,109,114,104,101
West Virginia,0,0,0,0,0,0,0,0,1,2,3,3,4,3,3,3,4,4,3,5,4,4,4,4,4,3,3
Wisconsin,0,0,0,1,1,2,2,3,3,3,7,11,14,15,19,24,27,29,31,31,34,36,39,41,48,57,60
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4
Yukon Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
